state,hour,hour_of_day,load_mw,solar_mw,wind_mw,fuel_capacity_mw,battery_power_mw,battery_energy_mwh,battery_efficiency,battery_initial_soc_mwh
CA,37,13,24635.0,0,301.0,4689.7,4000,16000,0.88,8000
TX,37,13,59860.0,0,16134.0,52021.4,3000,12000,0.9,6000
NY,37,13,21412.0,0,290.0,21465.9,2000,8000,0.85,4000
CA,38,14,26659.0,4.0,298.0,4689.7,4000,16000,0.88,8000
TX,38,14,61558.0,1374.0,15664.0,52021.4,3000,12000,0.9,6000
NY,38,14,21174.0,0,172.0,21465.9,2000,8000,0.85,4000
CA,39,15,29316.0,194.0,237.0,4689.7,4000,16000,0.88,8000
TX,39,15,59200.0,15916.0,14451.0,52021.4,3000,12000,0.9,6000
NY,39,15,20482.0,0,105.0,21465.9,2000,8000,0.85,4000
CA,40,16,30679.0,664.0,126.0,4689.7,4000,16000,0.88,8000
TX,40,16,56328.0,26776.0,10449.0,52021.4,3000,12000,0.9,6000
NY,40,16,19914.0,0,70.0,21465.9,2000,8000,0.85,4000
CA,41,17,28363.0,1031.0,53.0,4689.7,4000,16000,0.88,8000
TX,41,17,53677.0,27283.0,9558.0,52021.4,3000,12000,0.9,6000
NY,41,17,19570.0,0,36.0,21465.9,2000,8000,0.85,4000
CA,42,18,26940.0,1404.0,22.0,4689.7,4000,16000,0.88,8000
TX,42,18,51407.0,25228.0,10745.0,52021.4,3000,12000,0.9,6000
NY,42,18,19285.0,0,34.0,21465.9,2000,8000,0.85,4000
CA,43,19,25339.0,1478.0,21.0,4689.7,4000,16000,0.88,8000
TX,43,19,49733.0,24304.0,10675.0,52021.4,3000,12000,0.9,6000
NY,43,19,19140.0,0,51.0,21465.9,2000,8000,0.85,4000
CA,44,20,24137.0,1431.0,19.0,4689.7,4000,16000,0.88,8000
TX,44,20,48656.0,24639.0,9224.0,52021.4,3000,12000,0.9,6000
NY,44,20,19207.0,0,61.0,21465.9,2000,8000,0.85,4000
CA,45,21,23971.0,1404.0,30.0,4689.7,4000,16000,0.88,8000
TX,45,21,48248.0,26012.0,8053.0,52021.4,3000,12000,0.9,6000
NY,45,21,19733.0,0,40.0,21465.9,2000,8000,0.85,4000
CA,46,22,24365.0,1155.0,38.0,4689.7,4000,16000,0.88,8000
TX,46,22,48012.0,25216.0,6832.0,52021.4,3000,12000,0.9,6000
NY,46,22,20855.0,0,9.0,21465.9,2000,8000,0.85,4000
CA,47,23,25583.0,861.0,40.0,4689.7,4000,16000,0.88,8000
TX,47,23,48284.0,21367.0,5825.0,52021.4,3000,12000,0.9,6000
NY,47,23,22009.0,0,9.0,21465.9,2000,8000,0.85,4000
